iter	Passed	Remaining
0	5	520
1	8	392
2	9	297
3	10	247
4	11	222
5	12	200
6	14	188
7	15	181
8	17	173
9	18	167
10	20	164
11	21	157
12	22	151
13	23	145
14	24	140
15	26	136
16	27	132
17	28	128
18	29	125
19	30	122
20	32	120
21	33	118
22	34	116
23	35	113
24	37	112
25	38	110
26	39	107
27	41	106
28	43	105
29	44	103
30	45	101
31	47	100
32	48	99
33	50	97
34	51	95
35	53	94
36	54	93
37	56	92
38	58	91
39	60	91
40	62	90
41	64	88
42	66	87
43	67	85
44	69	84
45	71	83
46	72	82
47	74	80
48	75	78
49	76	76
50	78	75
51	80	74
52	82	72
53	83	71
54	84	69
55	86	67
56	87	66
57	88	64
58	90	62
59	92	61
60	94	60
61	96	59
62	98	57
63	100	56
64	101	54
65	103	53
66	104	51
67	106	49
68	107	48
69	108	46
70	110	44
71	112	43
72	114	42
73	115	40
74	116	38
75	118	37
76	119	35
77	121	34
78	123	32
79	125	31
80	127	29
81	129	28
82	131	26
83	133	25
84	135	23
85	137	22
86	138	20
87	140	19
88	142	17
89	143	15
90	148	14
91	149	13
92	151	11
93	153	9
94	156	8
95	157	6
96	159	4
97	160	3
98	162	1
99	163	0
