application_id,annual_income,monthly_debt,fico_score,requested_amount,property_value,employment_length,loan_purpose,home_type,marital_status,num_dependents,education_level,loan_term_years,down_payment_pct,existing_mortgages,loan_approved
HL00001,127998.53,1432.6,639,126584.14,156857.67,24,Purchase,Condo,Married,5,Bachelor,30,0.193,0,1
HL00002,286446.43,4013.2,724,155778.41,186115.18,3,Refinance,Single Family,Single,2,High School,20,0.163,1,1
HL00003,226298.33,4986.19,601,479928.99,542906.1,31,Purchase,Single Family,Single,5,High School,30,0.116,1,1
HL00004,189631.08,150.13,569,395115.14,418554.17,16,Refinance,Single Family,Single,5,High School,30,0.056,3,1
HL00005,67905.13,4486.83,546,800000.0,1116237.37,0,Purchase,Townhouse,Married,0,PhD,30,0.202,0,0
HL00006,67898.49,3113.15,550,442925.44,497669.03,32,Purchase,Single Family,Married,2,Bachelor,30,0.11,2,0
HL00007,40972.99,4866.91,608,749493.04,927590.39,29,Purchase,Single Family,Married,5,High School,30,0.192,3,0
HL00008,263198.44,2325.05,650,575499.9,671528.47,4,Purchase,Multi Family,Single,3,High School,30,0.143,3,1
HL00009,190306.63,4236.94,602,699746.78,867096.38,11,Purchase,Single Family,Single,1,Bachelor,30,0.193,2,0
HL00010,219719.96,311.97,629,283075.47,367630.48,37,Purchase,Condo,Divorced,5,Bachelor,30,0.23,1,1
HL00011,30660.74,1676.4,621,800000.0,1134643.09,31,Refinance,Townhouse,Divorced,0,High School,30,0.233,2,0
HL00012,291725.21,335.08,696,571989.83,671349.56,37,Purchase,Single Family,Married,3,High School,30,0.148,3,1
HL00013,253921.73,4876.72,667,800000.0,1010239.58,16,Purchase,Multi Family,Single,0,Bachelor,30,0.143,1,1
HL00014,83393.26,4084.87,586,442936.89,485676.41,39,Purchase,Condo,Divorced,4,Bachelor,30,0.088,3,0
HL00015,75001.87,4262.74,652,143431.66,187737.77,31,Refinance,Single Family,Single,5,High School,30,0.236,0,0
HL00016,75436.24,4689.83,550,723812.35,832925.6,23,Purchase,Single Family,Married,1,High School,30,0.131,1,0
HL00017,108666.62,425.52,670,78873.28,83729.6,11,Purchase,Single Family,Single,1,Bachelor,30,0.058,3,1
HL00018,169308.02,1927.99,645,533491.52,609704.6,30,Purchase,Townhouse,Married,3,High School,30,0.125,3,1
HL00019,143784.88,355.17,613,274971.82,291902.14,18,Refinance,Single Family,Married,3,High School,30,0.058,0,0
HL00020,105088.01,1053.97,727,670705.0,780797.44,28,Refinance,Condo,Divorced,3,Bachelor,30,0.141,2,1
HL00021,193259.55,1146.83,593,800000.0,1176847.36,20,Purchase,Single Family,Married,1,Bachelor,30,0.153,1,1
HL00022,63360.81,2345.54,563,535318.13,597453.27,25,Purchase,Condo,Divorced,5,Bachelor,15,0.104,3,0
HL00023,105339.78,1342.81,541,800000.0,994685.54,27,Purchase,Single Family,Married,4,Bachelor,30,0.046,3,0
HL00024,125749.51,504.89,660,492447.99,646257.21,16,Purchase,Single Family,Married,1,Bachelor,15,0.238,3,1
HL00025,150419.25,837.46,709,506256.02,632820.03,8,Purchase,Single Family,Single,3,High School,30,0.2,3,1
HL00026,240923.39,736.38,753,800000.0,1121726.43,20,Purchase,Townhouse,Single,2,High School,30,0.215,2,1
HL00027,79910.29,4865.38,651,800000.0,1076211.6,33,Purchase,Single Family,Married,5,High School,15,0.111,2,0
HL00028,166414.47,3796.46,623,770097.49,959025.52,10,Purchase,Condo,Divorced,4,Master,30,0.197,2,1
HL00029,187914.01,4838.81,625,352352.3,408287.72,19,Purchase,Single Family,Single,1,Bachelor,15,0.137,1,0
HL00030,37773.86,2198.7,485,637212.52,688134.47,38,Purchase,Condo,Single,2,High School,30,0.074,2,0
HL00031,192074.83,1391.84,747,308251.98,326884.39,15,Purchase,Condo,Single,5,High School,20,0.057,1,1
HL00032,71894.13,3991.47,609,513519.22,574406.29,28,Purchase,Single Family,Divorced,4,Bachelor,20,0.106,2,0
HL00033,42889.19,1631.27,546,582555.32,619739.7,0,Refinance,Condo,Single,1,High School,30,0.06,3,0
HL00034,285943.52,1496.92,759,757946.29,1010595.05,17,Refinance,Single Family,Single,5,Bachelor,15,0.25,0,1
HL00035,290548.81,1162.53,646,800000.0,1083031.91,21,Purchase,Townhouse,Single,5,Master,30,0.041,1,1
HL00036,247309.27,648.39,693,472683.73,541447.57,7,Purchase,Single Family,Single,3,High School,15,0.127,0,1
