applicant_id,gender,age,age_group,race,income,coapplicant_income,credit_score,loan_amount,loan_term,employment_years,home_ownership,education,self_employed,dependents,property_area,dti,loan_status
L00001,Male,33,Middle-aged,Caucasian,45400.0,0.0,623,157900.0,360,3.9,Rent,Graduate,No,3+,Semiurban,0.25,1
L00002,Female,18,Young,Caucasian,46800.0,0.0,634,178800.0,120,3.4,Rent,Undergraduate,No,0,Rural,0.509,0
L00003,Female,36,Middle-aged,Hispanic,41900.0,0.0,667,156800.0,360,3.6,Rent,Undergraduate,No,1,Urban,0.269,0
L00004,Female,51,Middle-aged,Caucasian,44300.0,0.0,660,156400.0,360,5.6,Mortgage,Graduate,No,0,Semiurban,0.254,1
L00005,Male,47,Middle-aged,Caucasian,59700.0,16100.0,671,357500.0,120,7.4,Mortgage,Graduate,No,1,Rural,0.628,0
L00006,Male,46,Middle-aged,Caucasian,31200.0,0.0,556,120800.0,360,8.5,Rent,Graduate,No,0,Rural,0.279,1
L00007,Male,37,Middle-aged,Asian,53000.0,0.0,587,271200.0,360,11.4,Mortgage,Graduate,No,1,Rural,0.368,0
L00008,Female,25,Young,Caucasian,43600.0,0.0,645,169100.0,180,31.7,Mortgage,Graduate,No,0,Rural,0.393,1
L00009,Female,47,Middle-aged,Asian,45700.0,0.0,715,158100.0,360,11.8,Rent,Graduate,No,0,Semiurban,0.249,1
L00010,Female,30,Middle-aged,Caucasian,42900.0,14600.0,485,165700.0,360,3.1,Rent,Undergraduate,No,0,Urban,0.207,0
L00011,Male,67,Senior,Hispanic,26500.0,18100.0,610,178100.0,360,14.2,Own,Graduate,No,0,Urban,0.287,1
L00012,Female,47,Middle-aged,African American,20000.0,0.0,610,61400.0,360,8.2,Mortgage,Graduate,No,2,Urban,0.221,0
L00013,Female,34,Middle-aged,Caucasian,20000.0,26500.0,537,176500.0,360,5.4,Mortgage,Graduate,No,2,Urban,0.273,0
L00014,Male,33,Middle-aged,Caucasian,68000.0,31000.0,577,333100.0,180,16.0,Rent,Graduate,Yes,0,Rural,0.341,1
L00015,Male,39,Middle-aged,Caucasian,68300.0,0.0,664,242900.0,360,9.2,Rent,Undergraduate,No,0,Semiurban,0.256,1
L00016,Male,38,Middle-aged,Caucasian,68700.0,0.0,729,301500.0,360,8.7,Mortgage,Graduate,No,3+,Urban,0.316,1
L00017,Male,54,Middle-aged,Hispanic,49900.0,38000.0,522,231500.0,180,5.5,Own,Graduate,No,1,Rural,0.267,1
L00018,Male,43,Middle-aged,Caucasian,20900.0,0.0,593,66100.0,120,13.8,Rent,Graduate,No,0,Semiurban,0.421,1
L00019,Male,32,Middle-aged,Caucasian,32500.0,0.0,624,158000.0,360,10.0,Rent,Graduate,Yes,2,Urban,0.35,0
L00020,Male,63,Senior,Caucasian,52500.0,0.0,706,207700.0,360,8.5,Rent,Graduate,Yes,1,Urban,0.285,1
