app_id,age,monthly_income,credit_history_length,credit_score,num_credit_lines,loan_amount,interest_rate,loan_purpose,employment_status,years_at_job,annual_income,dti_ratio,has_cosigner,previous_defaults,loan_grade,loan_approved
PL00001,59,10229.72,30,700,11,21915.23,11.24,Debt Consolidation,Employed,20.2,122756.63999999998,0.425,Yes,0,C,1
PL00002,49,16899.8,18,719,9,20195.02,8.03,Debt Consolidation,Employed,14.2,202797.59999999998,0.857,No,0,C,1
PL00003,35,4827.18,12,548,1,23749.08,18.72,Home Improvement,Employed,9.9,57926.16,0.563,No,0,E,0
PL00004,63,22439.16,30,797,15,4734.7,7.86,Home Improvement,Employed,3.0,269269.92,0.045,No,0,A,1
PL00005,28,13570.93,2,659,7,28105.0,17.38,Debt Consolidation,Employed,21.2,162851.16,0.802,No,0,C,0
PL00006,41,12335.04,28,764,13,17106.17,9.87,Debt Consolidation,Employed,10.8,148020.48,0.055,Yes,0,B,1
PL00007,59,15474.89,30,688,14,6949.68,10.91,Debt Consolidation,Self-Employed,8.0,185698.68,0.934,No,0,C,0
PL00008,39,16370.03,17,609,15,23846.58,13.93,Debt Consolidation,Self-Employed,8.9,196440.36000000002,0.212,No,0,D,1
PL00009,43,3650.84,24,675,10,1165.82,13.49,Debt Consolidation,Retired,8.2,43810.08,0.488,No,0,C,0
PL00010,31,17700.2,7,707,11,20687.48,10.01,Medical,Employed,16.8,212402.40000000002,0.072,No,1,C,1
PL00011,31,7564.43,0,589,1,6181.03,15.73,Home Improvement,Employed,19.0,90773.16,0.562,Yes,0,D,0
PL00012,44,18420.91,20,643,3,2190.34,12.91,Debt Consolidation,Self-Employed,2.6,221050.91999999998,0.497,Yes,3,D,0
PL00013,56,20918.3,30,833,2,41399.28,5.12,Education,Employed,4.8,251019.59999999998,0.41,Yes,0,A,1
PL00014,60,20491.05,30,833,8,45896.19,7.24,Debt Consolidation,Employed,5.2,245892.59999999998,0.036,No,0,A,1
PL00015,44,14707.52,18,577,17,11176.06,13.43,Education,Employed,12.6,176490.24,0.879,No,0,D,0
PL00016,23,13963.91,6,632,18,27425.61,17.5,Medical,Retired,18.0,167566.91999999998,0.803,Yes,0,D,0
PL00017,42,5286.15,19,733,6,14619.95,9.91,Home Improvement,Employed,0.0,63433.799999999996,0.633,No,0,B,1
PL00018,22,19832.96,0,659,3,25185.29,12.41,Debt Consolidation,Employed,1.6,237995.52,0.572,No,0,C,1
PL00019,44,8242.42,23,644,5,22394.93,16.14,Debt Consolidation,Employed,7.3,98909.04000000001,0.695,No,0,D,0
PL00020,64,13423.99,30,720,18,14183.5,10.5,Medical,Employed,14.3,161087.88,0.144,Yes,0,C,1
PL00021,50,8538.3,30,626,0,35319.29,13.09,Debt Consolidation,Retired,2.5,102459.59999999999,0.933,No,0,D,0
PL00022,58,5078.05,30,596,15,7198.06,13.5,Debt Consolidation,Employed,6.9,60936.600000000006,0.285,No,0,D,1
PL00023,22,16479.83,6,719,10,3600.57,12.35,Debt Consolidation,Employed,4.2,197757.96000000002,0.656,No,0,C,1
PL00024,41,3249.64,17,546,3,38616.1,20.34,Education,Employed,16.1,38995.68,0.607,No,0,E,0
